Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
index,Success,72,32,2016-05-10 13:34:03 -0600,2016-07-25 10:33:57 -0600,0:00:40
Read,Success,1,0,2016-06-28 13:16:30 -0600,2016-06-28 13:16:30 -0600,0:00:01
