Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Output,Success,23,2,2016-07-13 08:59:07 -0600,2016-07-13 09:16:23 -0600,0:00:00
RESTful,Success,5,1,2016-06-29 09:37:28 -0600,2016-07-06 10:02:12 -0600,0:00:00
index,Success,48,12,2016-06-23 13:14:01 -0600,2016-07-29 12:44:35 -0600,0:00:02
