Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
TripleClick,Success,78,0,2017-03-02 09:48:12 -0700,2017-03-03 08:17:45 -0700,0:00:00
Loop it,Success,1,0,2017-03-03 08:12:18 -0700,2017-03-03 08:12:18 -0700,0:05:29
index,Success,150,25,2016-04-22 13:51:36 -0600,2017-03-03 08:02:09 -0700,0:00:25
