Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Index,Success,91,25,2016-05-06 12:41:50 -0600,2017-05-25 08:27:33 -0600,0:00:17
Calculator,Success,12,0,2016-05-06 15:31:26 -0600,2017-05-17 11:07:43 -0600,0:00:00
